id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
1,januari,BPJS KESEHATAN,SKH,37,263000,tidak
2,januari,BLBI ABIYOSO,PPKH,873,108402501,potensial
3,januari,BPKP JABAR,SKH,266,3201001,potensial
4,januari,RSUD CIBABAT,EXP CORPORATE,5,95500,tidak
5,januari,PT ALFA OMEGA INDUSTRI,EXP CORPORATE,2,3131000,tidak
6,januari,BPJS KETENAGAKERJAAN,SKH,1809,13224500,potensial
7,januari,KPP PRATAMA SOREANG,SKH,490,5064500,potensial
8,januari,KPP PRATAMA CIMAHI,SKH,7168,51412301,potensial
9,januari,ULTRAJAYA MILK INDUSTRY,SKH,846,31064000,potensial
10,januari,BALAI DIKLAT KEUANGAN,EXP CORPORATE,13,180500,tidak
11,januari,SINAR CONTINENTAL,EXP CORPORATE,191,6272603,tidak
12,januari,FAMILY ONLINE SHOP,EXP CORPORATE,80,9253600,potensial
13,januari,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,356,410969000,potensial
14,januari,DINAS PERIJINAN BANDUNG BARAT,EXP CORPORATE,107,1107500,potensial
15,januari,WOM FINANCE,SKH,340,2145000,potensial
16,januari,ADIRA DINAMIKA FINANCE,SKH,13,1164100,tidak
17,januari,MEGA FINANCE,SKH,559,4057000,potensial
18,januari,BJB,SKH,20,373500,tidak
19,januari,BPJS KESEHATAN,SKH,37,263000,tidak
20,januari,BLBI ABIYOSO,PPKH,873,108402501,potensial
21,januari,BPKP JABAR,SKH,266,3201001,potensial
22,januari,RSUD CIBABAT,EXP CORPORATE,5,95500,tidak
23,januari,PT ALFA OMEGA INDUSTRI,EXP CORPORATE,2,3131000,tidak
24,januari,BPJS KETENAGAKERJAAN,SKH,1809,13224500,potensial
25,januari,KPP PRATAMA SOREANG,SKH,490,5064500,potensial
26,januari,KPP PRATAMA CIMAHI,SKH,7168,51412301,potensial
27,januari,ULTRAJAYA MILK INDUSTRY,SKH,846,31064000,potensial
28,januari,BALAI DIKLAT KEUANGAN,EXP CORPORATE,13,180500,tidak
29,januari,SINAR CONTINENTAL,EXP CORPORATE,191,6272603,tidak
30,januari,FAMILY ONLINE SHOP,EXP CORPORATE,80,9253600,potensial
31,januari,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,356,410969000,potensial
32,januari,DINAS PERIJINAN BANDUNG BARAT,EXP CORPORATE,107,1107500,potensial
33,januari,WOM FINANCE,SKH,340,2145000,potensial
34,januari,ADIRA DINAMIKA FINANCE,SKH,13,1164100,tidak
35,januari,MEGA FINANCE,SKH,559,4057000,potensial
36,januari,BJB,SKH,20,373500,tidak
37,februari,BPJS KESEHATAN,SKH,16,112000,tidak
38,februari,BLBI ABIYOSO,PPKH,1352,46271500,potensial
39,februari,BPKP JABAR,SKH,187,2158500,tidak
40,februari,RSUD CIBABAT,EXP CORPORATE,1,10000,tidak
41,februari,PT ALFA OMEGA INDUSTRI,EXP CORPORATE,0,0,tidak
42,februari,BPJS KETENAGAKERJAAN,SKH,1023,7891500,potensial
43,februari,KPP PRATAMA SOREANG,SKH,930,8170000,potensial
44,februari,KPP PRATAMA CIMAHI,SKH,9908,70493001,potensial
45,februari,ULTRAJAYA MILK INDUSTRY,EXP CORPORATE,707,25670000,potensial
46,februari,BALAI DIKLAT KEUANGAN,SKH,18,508500,tidak
47,februari,SINAR CONTINENTAL,EXP CORPORATE,101,3364000,potensial
48,februari,FAMILY ONLINE SHOP,EXP CORPORATE,89,6174597,potensial
49,februari,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,341,387082500,potensial
50,februari,DINAS PERIJINAN BANDUNG BARAT,EXP CORPORATE,82,826500,tidak
51,februari,WOM FINANCE,SKH,395,2575000,potensial
52,februari,BUNDA JAYA HERBAL,LOGISTIK,298,21414755,potensial
53,februari,ADIRA DINAMIKA FINANCE,SKH,13,1170000,tidak
54,februari,MEGA FINANCE,SKH,106,771800,potensial
